AverageLeadTime;Tot_Revenue;DistributionChannel;MarketSegment;Nationality;Interval_age;PersonsNights;RoomNights
21-63;0-499;Corporate;Groups;Other;41-60;0-4;0-4
21-63;0-499;Corporate;Groups;Other;21-40;0-4;0-4
;0-499;Direct;Direct;Other;60+;0-4;0-4
64-135;500-999;Direct;Direct;Other;21-40;5-24;0-4
1-20;0-499;Corporate;Other;Other;41-60;0-4;0-4
21-63;500-999;Corporate;Groups;Other;41-60;5-24;0-4
21-63;500-999;Corporate;Groups;Other;60+;5-24;0-4
1-20;;Direct;Other;Other;41-60;0-4;0-4
1-20;0-499;Corporate;Other;FRA;21-40;0-4;0-4
1-20;0-499;Corporate;Other;FRA;41-60;0-4;0-4
21-63;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;21-40;5-24;0-4
;0-499;Direct;Other;GBR;41-60;0-4;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;41-60;0-4;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;21-40;0-4;0-4
1-20;;Direct;Other;Other;41-60;0-4;0-4
1-20;;Direct;Other;Other;41-60;0-4;0-4
21-63;500-999;Corporate;Groups;Other;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;41-60;0-4;0-4
21-63;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;60+;5-24;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;41-60;0-4;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;41-60;0-4;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;41-60;0-4;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;21-40;0-4;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;41-60;0-4;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;21-40;0-4;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;41-60;0-4;0-4
1-20;0-499;Direct;Direct;Other;41-60;0-4;0-4
1-20;0-499;Direct;Direct;Other;41-60;0-4;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;41-60;0-4;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;41-60;0-4;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;21-40;0-4;0-4
1-20;0-499;Corporate;Other;Other;41-60;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;41-60;0-4;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;41-60;0-4;0-4
;0-499;Travel Agent/Operator;Other;Other;41-60;0-4;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;21-40;0-4;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;60+;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;60+;0-4;0-4
64-135;0-499;Travel Agent/Operator;Travel Agent/Operator;DEU;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;41-60;0-4;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;21-40;0-4;0-4
1-20;0-499;Direct;Direct;Other;41-60;0-4;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;60+;0-4;0-4
21-63;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;41-60;5-24;0-4
1-20;0-499;Direct;Other;Other;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;60+;0-4;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;41-60;0-4;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;41-60;0-4;0-4
21-63;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;21-40;0-4;0-4
64-135;0-499;Travel Agent/Operator;Other;Other;41-60;0-4;0-4
1-20;0-499;Corporate;Other;Other;41-60;0-4;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;21-40;5-24;0-4
1-20;0-499;Direct;Direct;Other;41-60;5-24;0-4
1-20;0-499;Direct;Direct;Other;60+;0-4;0-4
1-20;500-999;Direct;Direct;Other;60+;0-4;0-4
1-20;500-999;Direct;Direct;Other;41-60;5-24;5-24
64-135;0-499;Travel Agent/Operator;Travel Agent/Operator;GBR;21-40;0-4;0-4
;0-499;Direct;Direct;Other;21-40;0-4;0-4
1-20;0-499;Direct;Direct;DEU;21-40;0-4;0-4
1-20;500-999;Direct;Direct;Other;21-40;5-24;5-24
;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;21-40;0-4;0-4
;500-999;Direct;Direct;Other;41-60;5-24;0-4
64-135;0-499;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
64-135;0-499;Direct;Direct;Other;41-60;0-4;0-4
64-135;0-499;Direct;Direct;Other;41-60;0-4;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;21-40;5-24;0-4
64-135;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;60+;5-24;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;60+;5-24;0-4
1-20;0-499;Corporate;Other;FRA;21-40;0-4;0-4
1-20;0-499;Corporate;Other;Other;41-60;0-4;0-4
1-20;0-499;Corporate;Other;Other;41-60;0-4;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;41-60;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;41-60;0-4;0-4
21-63;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;21-40;0-4;0-4
64-135;0-499;Travel Agent/Operator;Other;GBR;21-40;5-24;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;21-40;5-24;0-4
21-63;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;41-60;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;21-40;0-4;0-4
1-20;0-499;Direct;Direct;FRA;41-60;0-4;0-4
1-20;0-499;Direct;Direct;FRA;21-40;0-4;0-4
64-135;0-499;Travel Agent/Operator;Travel Agent/Operator;DEU;41-60;5-24;5-24
1-20;0-499;Direct;Direct;DEU;41-60;0-4;0-4
1-20;0-499;Corporate;Other;Other;41-60;0-4;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;60+;0-4;0-4
1-20;0-499;Travel Agent/Operator;Other;FRA;21-40;0-4;0-4
1-20;0-499;Corporate;Other;Other;0-20;0-4;0-4
21-63;0-499;Direct;Other;Other;21-40;0-4;0-4
1-20;0-499;Travel Agent/Operator;Other;GBR;21-40;0-4;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;DEU;41-60;0-4;0-4
1-20;0-499;Direct;Direct;Other;41-60;0-4;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;41-60;5-24;0-4
1-20;0-499;Direct;Groups;FRA;21-40;0-4;0-4
1-20;0-499;Direct;Direct;Other;41-60;0-4;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;21-40;0-4;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;41-60;5-24;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;41-60;5-24;0-4
;0-499;Direct;Direct;Other;21-40;5-24;0-4
;0-499;Travel Agent/Operator;Other;FRA;21-40;0-4;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;41-60;0-4;0-4
21-63;0-499;Corporate;Other;Other;41-60;0-4;0-4
1-20;0-499;Direct;Direct;Other;41-60;0-4;0-4
21-63;0-499;Corporate;Other;Other;41-60;0-4;0-4
21-63;0-499;Corporate;Other;Other;41-60;0-4;0-4
1-20;0-499;Travel Agent/Operator;Other;DEU;41-60;0-4;0-4
21-63;0-499;Corporate;Other;Other;41-60;0-4;0-4
1-20;0-499;Direct;Direct;Other;41-60;0-4;0-4
21-63;0-499;Corporate;Other;Other;41-60;0-4;0-4
21-63;500-999;Travel Agent/Operator;Travel Agent/Operator;Other;41-60;0-4;0-4
21-63;0-499;Corporate;Other;Other;41-60;0-4;0-4
21-63;500-999;Travel Agent/Operator;Travel Agent/Operator;DEU;60+;5-24;5-24
21-63;0-499;Corporate;Other;Other;60+;0-4;0-4
1-20;0-499;Direct;Direct;Other;41-60;0-4;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;21-40;5-24;0-4
1-20;0-499;Corporate;Other;Other;60+;0-4;0-4
1-20;0-499;Corporate;Other;Other;41-60;0-4;0-4
1-20;0-499;Corporate;Other;Other;60+;0-4;0-4
1-20;500-999;Corporate;Other;Other;41-60;0-4;0-4
21-63;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;60+;5-24;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;21-40;5-24;0-4
1-20;0-499;Corporate;Other;FRA;60+;0-4;0-4
;0-499;Direct;Direct;Other;41-60;0-4;0-4
1-20;1000-2499;Corporate;Other;Other;60+;5-24;0-4
1-20;1000-2499;Corporate;Other;FRA;41-60;0-4;0-4
1-20;500-999;Corporate;Other;Other;60+;5-24;0-4
1-20;0-499;Corporate;Other;FRA;41-60;0-4;0-4
1-20;500-999;Corporate;Other;Other;41-60;0-4;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;41-60;0-4;0-4
64-135;0-499;Travel Agent/Operator;Other;GBR;21-40;0-4;0-4
1-20;0-499;Corporate;Other;Other;41-60;0-4;0-4
21-63;0-499;Travel Agent/Operator;Other;Other;21-40;5-24;0-4
64-135;0-499;Travel Agent/Operator;Travel Agent/Operator;GBR;41-60;5-24;0-4
1-20;500-999;Travel Agent/Operator;Other;Other;41-60;0-4;0-4
1-20;0-499;Corporate;Other;Other;60+;0-4;0-4
1-20;0-499;Direct;Direct;Other;41-60;5-24;0-4
1-20;500-999;Corporate;Other;Other;60+;0-4;0-4
21-63;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;21-40;5-24;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;60+;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;41-60;0-4;0-4
64-135;0-499;Travel Agent/Operator;Other;DEU;41-60;5-24;0-4
64-135;0-499;Direct;Direct;FRA;60+;0-4;0-4
64-135;0-499;Direct;Direct;FRA;21-40;0-4;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;DEU;41-60;5-24;0-4
1-20;500-999;Corporate;Other;Other;41-60;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;21-40;5-24;0-4
1-20;500-999;Corporate;Other;Other;60+;0-4;0-4
64-135;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;21-40;5-24;0-4
64-135;0-499;Direct;Direct;Other;21-40;5-24;0-4
1-20;0-499;Direct;Direct;Other;21-40;0-4;0-4
1-20;0-499;Travel Agent/Operator;Other;DEU;60+;0-4;0-4
21-63;0-499;Travel Agent/Operator;Travel Agent/Operator;DEU;60+;5-24;0-4
1-20;0-499;Direct;Direct;Other;21-40;0-4;0-4
1-20;0-499;Direct;Direct;Other;41-60;5-24;0-4
1-20;0-499;Direct;Direct;Other;41-60;5-24;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;41-60;0-4;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;41-60;0-4;0-4
1-20;500-999;Travel Agent/Operator;Other;Other;21-40;5-24;0-4
;0-499;Travel Agent/Operator;Other;Other;41-60;0-4;0-4
1-20;0-499;Direct;Direct;Other;41-60;5-24;0-4
1-20;500-999;Direct;Direct;Other;41-60;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;41-60;0-4;0-4
21-63;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;21-40;5-24;0-4
135-588;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;41-60;5-24;0-4
135-588;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;0-20;5-24;0-4
21-63;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;41-60;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;DEU;41-60;0-4;0-4
21-63;0-499;Travel Agent/Operator;Travel Agent/Operator;GBR;21-40;5-24;0-4
64-135;0-499;Direct;Direct;Other;41-60;0-4;0-4
21-63;0-499;Direct;Direct;FRA;41-60;0-4;0-4
21-63;500-999;Direct;Direct;FRA;41-60;0-4;0-4
;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;21-40;5-24;0-4
21-63;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;0-20;5-24;0-4
64-135;0-499;Travel Agent/Operator;Other;Other;21-40;5-24;0-4
1-20;0-499;Direct;Direct;FRA;21-40;0-4;0-4
21-63;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;21-40;5-24;0-4
1-20;500-999;Direct;Direct;Other;60+;0-4;0-4
64-135;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;41-60;5-24;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;21-40;5-24;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;60+;5-24;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;60+;5-24;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;21-40;5-24;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;41-60;5-24;0-4
1-20;0-499;Direct;Direct;Other;21-40;5-24;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;60+;5-24;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;41-60;0-4;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;41-60;0-4;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;60+;5-24;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;60+;5-24;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;60+;5-24;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;60+;5-24;0-4
;0-499;Direct;Direct;Other;60+;0-4;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;41-60;0-4;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;60+;0-4;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;60+;5-24;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;21-40;5-24;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;60+;5-24;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Groups;DEU;60+;5-24;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;60+;5-24;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;60+;5-24;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;41-60;0-4;0-4
21-63;0-499;Travel Agent/Operator;Groups;Other;60+;0-4;0-4
21-63;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;41-60;5-24;0-4
1-20;0-499;Direct;Direct;Other;21-40;0-4;0-4
1-20;0-499;Direct;Direct;Other;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Other;FRA;60+;5-24;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;DEU;21-40;5-24;0-4
21-63;0-499;Travel Agent/Operator;Other;FRA;60+;5-24;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;GBR;21-40;5-24;0-4
64-135;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;21-40;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;DEU;21-40;0-4;0-4
64-135;0-499;Travel Agent/Operator;Other;Other;21-40;0-4;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;41-60;5-24;0-4
21-63;1000-2499;Direct;Direct;Other;41-60;5-24;0-4
21-63;0-499;Direct;Direct;Other;0-20;5-24;0-4
21-63;1000-2499;Direct;Direct;Other;41-60;5-24;0-4
21-63;0-499;Direct;Direct;Other;0-20;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;FRA;41-60;0-4;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;41-60;5-24;0-4
1-20;0-499;Direct;Direct;Other;60+;0-4;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;21-40;5-24;0-4
1-20;0-499;Direct;Direct;Other;21-40;0-4;0-4
1-20;0-499;Corporate;Other;Other;41-60;0-4;0-4
;0-499;Direct;Direct;Other;21-40;0-4;0-4
21-63;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;21-40;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
;500-999;Direct;Direct;FRA;41-60;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;41-60;0-4;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;41-60;0-4;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;41-60;0-4;0-4
21-63;0-499;Travel Agent/Operator;Travel Agent/Operator;DEU;41-60;5-24;0-4
64-135;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;60+;5-24;5-24
64-135;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;60+;5-24;5-24
64-135;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;60+;5-24;5-24
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;60+;0-4;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
21-63;0-499;Direct;Direct;Other;21-40;0-4;0-4
21-63;0-499;Travel Agent/Operator;Other;FRA;41-60;5-24;0-4
1-20;0-499;Corporate;Other;Other;41-60;0-4;0-4
64-135;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;41-60;5-24;0-4
1-20;0-499;Direct;Other;Other;41-60;0-4;0-4
21-63;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;0-20;5-24;0-4
21-63;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;41-60;5-24;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;21-40;5-24;0-4
64-135;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;41-60;0-4;0-4
;0-499;Direct;Direct;Other;41-60;0-4;0-4
21-63;500-999;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;21-40;0-4;0-4
;0-499;Corporate;Other;Other;41-60;0-4;0-4
;0-499;Corporate;Other;Other;21-40;0-4;0-4
21-63;0-499;Travel Agent/Operator;Travel Agent/Operator;DEU;21-40;5-24;0-4
1-20;500-999;Direct;Direct;Other;41-60;5-24;0-4
;0-499;Corporate;Other;Other;41-60;0-4;0-4
;0-499;Corporate;Other;Other;60+;0-4;0-4
135-588;0-499;Travel Agent/Operator;Travel Agent/Operator;GBR;60+;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;21-40;0-4;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;41-60;0-4;0-4
21-63;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;60+;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;DEU;41-60;5-24;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;0-20;5-24;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;41-60;5-24;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;41-60;0-4;0-4
64-135;0-499;Travel Agent/Operator;Travel Agent/Operator;DEU;60+;5-24;5-24
;0-499;Direct;Direct;Other;41-60;0-4;0-4
21-63;0-499;Direct;Direct;Other;41-60;0-4;0-4
64-135;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;21-40;0-4;0-4
21-63;0-499;Direct;Direct;Other;21-40;0-4;0-4
21-63;0-499;Direct;Direct;Other;21-40;0-4;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;41-60;0-4;0-4
21-63;0-499;Direct;Direct;FRA;21-40;0-4;0-4
21-63;0-499;Direct;Direct;Other;41-60;0-4;0-4
1-20;0-499;Direct;Direct;Other;21-40;0-4;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;21-40;0-4;0-4
64-135;0-499;Travel Agent/Operator;Other;Other;21-40;5-24;5-24
1-20;0-499;Travel Agent/Operator;Other;Other;41-60;0-4;0-4
21-63;0-499;Travel Agent/Operator;Other;Other;21-40;5-24;0-4
1-20;500-999;Travel Agent/Operator;Other;Other;21-40;5-24;5-24
1-20;0-499;Direct;Direct;Other;21-40;0-4;0-4
1-20;0-499;Direct;Direct;Other;21-40;0-4;0-4
1-20;0-499;Direct;Direct;Other;21-40;0-4;0-4
1-20;0-499;Direct;Direct;Other;21-40;0-4;0-4
;0-499;Direct;Direct;Other;21-40;0-4;0-4
1-20;0-499;Direct;Direct;Other;21-40;0-4;0-4
;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;21-40;5-24;0-4
135-588;0-499;Direct;Direct;FRA;41-60;5-24;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;41-60;5-24;0-4
1-20;500-999;Direct;Direct;Other;41-60;0-4;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;0-20;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
64-135;0-499;Travel Agent/Operator;Other;Other;21-40;0-4;0-4
1-20;0-499;Direct;Direct;Other;21-40;5-24;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;41-60;5-24;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;DEU;21-40;5-24;0-4
64-135;0-499;Travel Agent/Operator;Other;FRA;21-40;5-24;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;60+;5-24;0-4
1-20;500-999;Travel Agent/Operator;Other;Other;60+;5-24;0-4
21-63;0-499;Travel Agent/Operator;Other;Other;21-40;5-24;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;41-60;5-24;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;DEU;21-40;5-24;0-4
64-135;0-499;Travel Agent/Operator;Other;Other;21-40;5-24;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;41-60;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;41-60;0-4;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;21-40;5-24;0-4
1-20;500-999;Travel Agent/Operator;Other;Other;41-60;5-24;5-24
;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;41-60;5-24;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Travel Agent/Operator;DEU;0-20;5-24;0-4
1-20;500-999;Travel Agent/Operator;Travel Agent/Operator;FRA;60+;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;FRA;21-40;0-4;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;41-60;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;FRA;41-60;5-24;0-4
1-20;0-499;Direct;Direct;Other;21-40;0-4;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;0-20;5-24;0-4
64-135;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;21-40;5-24;0-4
1-20;0-499;Direct;Direct;FRA;41-60;5-24;0-4
1-20;500-999;Corporate;Other;FRA;41-60;5-24;5-24
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;21-40;5-24;0-4
64-135;0-499;Direct;Direct;Other;60+;0-4;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;41-60;5-24;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;0-20;5-24;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;41-60;5-24;0-4
1-20;0-499;Corporate;Other;Other;60+;0-4;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;60+;5-24;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;41-60;5-24;0-4
64-135;0-499;Travel Agent/Operator;Travel Agent/Operator;GBR;41-60;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;21-40;0-4;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;60+;0-4;0-4
64-135;0-499;Travel Agent/Operator;Other;Other;60+;5-24;0-4
21-63;500-999;Travel Agent/Operator;Travel Agent/Operator;Other;21-40;5-24;5-24
64-135;0-499;Travel Agent/Operator;Other;DEU;0-20;5-24;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;41-60;5-24;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;60+;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;DEU;21-40;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;21-40;0-4;0-4
1-20;0-499;Direct;Direct;Other;21-40;0-4;0-4
21-63;0-499;Travel Agent/Operator;Other;Other;41-60;0-4;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;41-60;0-4;0-4
;0-499;Travel Agent/Operator;Other;GBR;41-60;0-4;0-4
64-135;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;21-40;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;GBR;21-40;5-24;0-4
1-20;500-999;Direct;Direct;Other;41-60;5-24;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;41-60;5-24;0-4
64-135;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;41-60;5-24;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;21-40;5-24;0-4
;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;41-60;5-24;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;21-40;5-24;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;21-40;5-24;0-4
64-135;0-499;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
64-135;0-499;Direct;Direct;Other;21-40;5-24;0-4
1-20;500-999;Direct;Direct;Other;21-40;5-24;5-24
64-135;0-499;Travel Agent/Operator;Other;Other;0-20;5-24;0-4
1-20;0-499;Direct;Direct;DEU;41-60;0-4;0-4
1-20;1000-2499;Travel Agent/Operator;Other;Other;41-60;5-24;5-24
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;21-40;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;21-40;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;21-40;0-4;0-4
